Teacher Quality,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Teachers,Number of Inexperienced Teachers,Percent of Out-of-Field Teachers,Number of Out-of-Field Teachers,Percent of Out-of-Field and Inexperienced Teachers,Number of Out-of-Field and Inexperienced Teachers
2023 - 2024,SCH,Chesterfield County Public Schools,Midlothian Middle,Low Poverty,Non-Title I,1,1,2,2,1,1
2023 - 2024,SCH,Chesterfield County Public Schools,Monacan High,Low Poverty,All Schools,4.5,5,1.8,2,0.9,1
2023 - 2024,SCH,Chesterfield County Public Schools,Monacan High,Low Poverty,Non-Title I,4.5,5,1.8,2,0.9,1
2023 - 2024,SCH,Chesterfield County Public Schools,Moseley Elementary,Low Poverty,All Schools,13,9,2.9,2,2.9,2
2023 - 2024,SCH,Chesterfield County Public Schools,Moseley Elementary,Low Poverty,Non-Title I,13,9,2.9,2,2.9,2
2023 - 2024,SCH,Chesterfield County Public Schools,O.B. Gates Elementary,Medium Poverty,All Schools,9.7,7,11.1,8,8.3,6
2023 - 2024,SCH,Chesterfield County Public Schools,O.B. Gates Elementary,Medium Poverty,Non-Title I,9.7,7,11.1,8,8.3,6
2023 - 2024,SCH,Chesterfield County Public Schools,Old Hundred Elementary,Low Poverty,All Schools,5.3,4,4,3,2.7,2
2023 - 2024,SCH,Chesterfield County Public Schools,Old Hundred Elementary,Low Poverty,Non-Title I,5.3,4,4,3,2.7,2
2023 - 2024,SCH,Chesterfield County Public Schools,Providence Elementary,Medium Poverty,All Schools,11.3,7,11.3,7,9.7,6
2023 - 2024,SCH,Chesterfield County Public Schools,Providence Elementary,Medium Poverty,Title I,11.3,7,11.3,7,9.7,6
2023 - 2024,SCH,Chesterfield County Public Schools,Providence Middle,Medium Poverty,All Schools,8,7,4.6,4,3.4,3
2023 - 2024,SCH,Chesterfield County Public Schools,Providence Middle,Medium Poverty,Non-Title I,8,7,4.6,4,3.4,3
2023 - 2024,SCH,Chesterfield County Public Schools,Reams Road Elementary,Medium Poverty,All Schools,11.7,7,13.3,8,8.3,5
2023 - 2024,SCH,Chesterfield County Public Schools,Reams Road Elementary,Medium Poverty,Title I,11.7,7,13.3,8,8.3,5
2023 - 2024,SCH,Chesterfield County Public Schools,Robious Elementary,Low Poverty,All Schools,7.7,4,13.5,7,5.8,3
2023 - 2024,SCH,Chesterfield County Public Schools,Robious Elementary,Low Poverty,Non-Title I,7.7,4,13.5,7,5.8,3
2023 - 2024,SCH,Chesterfield County Public Schools,Robious Middle,Low Poverty,All Schools,3.6,3,2.4,2,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Robious Middle,Low Poverty,Non-Title I,3.6,3,2.4,2,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Salem Church Elementary,Medium Poverty,All Schools,4.3,2,0,0,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Salem Church Elementary,Medium Poverty,Title I,4.3,2,0,0,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Salem Church Middle,Medium Poverty,All Schools,9.6,7,13.7,10,8.2,6
2023 - 2024,SCH,Chesterfield County Public Schools,Salem Church Middle,Medium Poverty,Non-Title I,9.6,7,13.7,10,8.2,6
2023 - 2024,SCH,Chesterfield County Public Schools,Spring Run Elementary,Low Poverty,All Schools,7.9,5,0,0,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Spring Run Elementary,Low Poverty,Non-Title I,7.9,5,0,0,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Swift Creek Elementary,Low Poverty,All Schools,5.4,3,5.4,3,5.4,3
2023 - 2024,SCH,Chesterfield County Public Schools,Swift Creek Elementary,Low Poverty,Non-Title I,5.4,3,5.4,3,5.4,3
2023 - 2024,SCH,Chesterfield County Public Schools,Swift Creek Middle,Low Poverty,All Schools,4.7,4,4.7,4,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Swift Creek Middle,Low Poverty,Non-Title I,4.7,4,4.7,4,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Thelma Crenshaw Elementary,Medium Poverty,All Schools,10,6,5,3,3.3,2
2023 - 2024,SCH,Chesterfield County Public Schools,Thelma Crenshaw Elementary,Medium Poverty,Title I,10,6,5,3,3.3,2
2023 - 2024,SCH,Chesterfield County Public Schools,Thomas Dale High,Medium Poverty,All Schools,12.3,23,8.6,16,4.3,8
2023 - 2024,SCH,Chesterfield County Public Schools,Thomas Dale High,Medium Poverty,Non-Title I,12.3,23,8.6,16,4.3,8
2023 - 2024,SCH,Chesterfield County Public Schools,Tomahawk Creek Middle,Low Poverty,All Schools,2.5,3,6.8,8,1.7,2
2023 - 2024,SCH,Chesterfield County Public Schools,Tomahawk Creek Middle,Low Poverty,Non-Title I,2.5,3,6.8,8,1.7,2
2023 - 2024,SCH,Chesterfield County Public Schools,W.W. Gordon Elementary,Low Poverty,All Schools,0,0,4.9,2,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,W.W. Gordon Elementary,Low Poverty,Non-Title I,0,0,4.9,2,0,0
2023 - 2024,SCH,Chesterfield County Public Schools,Winterpock Elementary,Low Poverty,All Schools,11.9,7,3.4,2,3.4,2
2023 - 2024,SCH,Chesterfield County Public Schools,Winterpock Elementary,Low Poverty,Non-Title I,11.9,7,3.4,2,3.4,2
2023 - 2024,SCH,Chesterfield County Public Schools,Woolridge Elementary,Low Poverty,All Schools,10,6,1.7,1,1.7,1
2023 - 2024,SCH,Chesterfield County Public Schools,Woolridge Elementary,Low Poverty,Non-Title I,10,6,1.7,1,1.7,1
2023 - 2024,SCH,Clarke County Public Schools,Boyce Elementary,Medium Poverty,All Schools,6.5,2,6.5,2,6.5,2
2023 - 2024,SCH,Clarke County Public Schools,Boyce Elementary,Medium Poverty,Title I,6.5,2,6.5,2,6.5,2
2023 - 2024,SCH,Clarke County Public Schools,Clarke County High,Low Poverty,All Schools,4.5,3,15.2,10,3,2
2023 - 2024,SCH,Clarke County Public Schools,Clarke County High,Low Poverty,Non-Title I,4.5,3,15.2,10,3,2
2023 - 2024,SCH,Clarke County Public Schools,D.G. Cooley Elementary,Low Poverty,All Schools,2.2,1,4.3,2,2.2,1
2023 - 2024,SCH,Clarke County Public Schools,D.G. Cooley Elementary,Low Poverty,Title I,2.2,1,4.3,2,2.2,1
2023 - 2024,SCH,Clarke County Public Schools,Johnson-Williams Middle,Low Poverty,All Schools,2.3,1,15.9,7,2.3,1
2023 - 2024,SCH,Clarke County Public Schools,Johnson-Williams Middle,Low Poverty,Non-Title I,2.3,1,15.9,7,2.3,1
2023 - 2024,SCH,Colonial Beach Public Schools,Colonial Beach Elementary,Medium Poverty,All Schools,11.5,3,30.8,8,11.5,3
2023 - 2024,SCH,Colonial Beach Public Schools,Colonial Beach Elementary,Medium Poverty,Title I,11.5,3,30.8,8,11.5,3
2023 - 2024,SCH,Colonial Beach Public Schools,Colonial Beach High,Medium Poverty,All Schools,5.9,1,29.4,5,0,0
2023 - 2024,SCH,Colonial Beach Public Schools,Colonial Beach High,Medium Poverty,Non-Title I,5.9,1,29.4,5,0,0
2023 - 2024,SCH,Colonial Heights City Public Schools,Colonial Heights High,Medium Poverty,All Schools,3.5,3,9.3,8,1.2,1
2023 - 2024,SCH,Colonial Heights City Public Schools,Colonial Heights High,Medium Poverty,Non-Title I,3.5,3,9.3,8,1.2,1
2023 - 2024,SCH,Colonial Heights City Public Schools,Colonial Heights Middle,Medium Poverty,All Schools,1.6,1,0,0,0,0
2023 - 2024,SCH,Colonial Heights City Public Schools,Colonial Heights Middle,Medium Poverty,Title I,1.6,1,0,0,0,0
2023 - 2024,SCH,Colonial Heights City Public Schools,Lakeview Elementary,Medium Poverty,All Schools,3.1,1,0,0,0,0
2023 - 2024,SCH,Colonial Heights City Public Schools,Lakeview Elementary,Medium Poverty,Title I,3.1,1,0,0,0,0
2023 - 2024,SCH,Colonial Heights City Public Schools,North Elementary,Medium Poverty,All Schools,14.8,4,0,0,0,0
2023 - 2024,SCH,Colonial Heights City Public Schools,North Elementary,Medium Poverty,Title I,14.8,4,0,0,0,0
2023 - 2024,SCH,Colonial Heights City Public Schools,Tussing Elementary,Medium Poverty,All Schools,6.5,3,0,0,0,0
2023 - 2024,SCH,Colonial Heights City Public Schools,Tussing Elementary,Medium Poverty,Title I,6.5,3,0,0,0,0
2023 - 2024,SCH,Craig County Public Schools,Craig County High,Medium Poverty,All Schools,2.6,1,5.3,2,0,0
2023 - 2024,SCH,Craig County Public Schools,Craig County High,Medium Poverty,Non-Title I,2.6,1,5.3,2,0,0
2023 - 2024,SCH,Craig County Public Schools,McCleary Elementary,Medium Poverty,All Schools,10.5,2,0,0,0,0
2023 - 2024,SCH,Craig County Public Schools,McCleary Elementary,Medium Poverty,Title I,10.5,2,0,0,0,0
2023 - 2024,SCH,Culpeper County Public Schools,A.G. Richardson Elementary,Medium Poverty,All Schools,6.5,3,6.5,3,4.3,2
2023 - 2024,SCH,Culpeper County Public Schools,A.G. Richardson Elementary,Medium Poverty,Non-Title I,6.5,3,6.5,3,4.3,2
2023 - 2024,SCH,Culpeper County Public Schools,Culpeper County High,Medium Poverty,All Schools,11.8,13,16.4,18,6.4,7
2023 - 2024,SCH,Culpeper County Public Schools,Culpeper County High,Medium Poverty,Non-Title I,11.8,13,16.4,18,6.4,7
2023 - 2024,SCH,Culpeper County Public Schools,Culpeper Middle,Medium Poverty,All Schools,7.7,7,11,10,5.5,5
2023 - 2024,SCH,Culpeper County Public Schools,Culpeper Middle,Medium Poverty,Non-Title I,7.7,7,11,10,5.5,5
2023 - 2024,SCH,Culpeper County Public Schools,Eastern View High,Medium Poverty,All Schools,12.2,16,15.3,20,5.3,7
2023 - 2024,SCH,Culpeper County Public Schools,Eastern View High,Medium Poverty,Non-Title I,12.2,16,15.3,20,5.3,7
2023 - 2024,SCH,Culpeper County Public Schools,Emerald Hill Elementary,Low Poverty,All Schools,6,3,4,2,4,2
2023 - 2024,SCH,Culpeper County Public Schools,Emerald Hill Elementary,Low Poverty,Non-Title I,6,3,4,2,4,2
2023 - 2024,SCH,Culpeper County Public Schools,Farmington Elementary,Medium Poverty,All Schools,11.9,5,4.8,2,4.8,2
2023 - 2024,SCH,Culpeper County Public Schools,Farmington Elementary,Medium Poverty,Title I,11.9,5,4.8,2,4.8,2
2023 - 2024,SCH,Culpeper County Public Schools,Floyd T. Binns Middle,Medium Poverty,All Schools,12.5,10,8.8,7,5,4
2023 - 2024,SCH,Culpeper County Public Schools,Floyd T. Binns Middle,Medium Poverty,Non-Title I,12.5,10,8.8,7,5,4
2023 - 2024,SCH,Culpeper County Public Schools,Pearl Sample Elementary,Medium Poverty,All Schools,7.5,4,5.7,3,3.8,2
2023 - 2024,SCH,Culpeper County Public Schools,Pearl Sample Elementary,Medium Poverty,Title I,7.5,4,5.7,3,3.8,2
2023 - 2024,SCH,Culpeper County Public Schools,Sycamore Park Elementary,Medium Poverty,All Schools,17.2,10,10.3,6,10.3,6
2023 - 2024,SCH,Culpeper County Public Schools,Sycamore Park Elementary,Medium Poverty,Title I,17.2,10,10.3,6,10.3,6
2023 - 2024,SCH,Culpeper County Public Schools,Yowell Elementary,Medium Poverty,All Schools,8,4,2,1,2,1
2023 - 2024,SCH,Culpeper County Public Schools,Yowell Elementary,Medium Poverty,Non-Title I,8,4,2,1,2,1
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland Elementary,High Poverty,All Schools,2.2,1,6.7,3,2.2,1
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland Elementary,High Poverty,Title I,2.2,1,6.7,3,2.2,1
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland High,High Poverty,All Schools,11.8,4,23.5,8,8.8,3
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland High,High Poverty,Non-Title I,11.8,4,23.5,8,8.8,3
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland Middle,High Poverty,All Schools,2.7,1,10.8,4,0,0
2023 - 2024,SCH,Cumberland County Public Schools,Cumberland Middle,High Poverty,Non-Title I,2.7,1,10.8,4,0,0
2023 - 2024,SCH,Danville City Public Schools,Edwin A. Gibson Elementary,High Poverty,All Schools,34.5,10,27.6,8,24.1,7
2023 - 2024,SCH,Danville City Public Schools,Edwin A. Gibson Elementary,High Poverty,Title I,34.5,10,27.6,8,24.1,7
2023 - 2024,SCH,Danville City Public Schools,Forest Hills Elementary,High Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Danville City Public Schools,Forest Hills Elementary,High Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Danville City Public Schools,G.L.H. Johnson Elementary,High Poverty,All Schools,8.6,3,25.7,9,5.7,2
2023 - 2024,SCH,Danville City Public Schools,G.L.H. Johnson Elementary,High Poverty,Title I,8.6,3,25.7,9,5.7,2
2023 - 2024,SCH,Danville City Public Schools,Galileo Magnet High,High Poverty,All Schools,0,0,13,3,0,0
2023 - 2024,SCH,Danville City Public Schools,Galileo Magnet High,High Poverty,Non-Title I,0,0,13,3,0,0
2023 - 2024,SCH,Danville City Public Schools,George Washington High,High Poverty,All Schools,6.8,6,23.9,21,4.5,4
2023 - 2024,SCH,Danville City Public Schools,George Washington High,High Poverty,Title I,6.8,6,23.9,21,4.5,4
2023 - 2024,SCH,Danville City Public Schools,O. Trent Bonner Middle,High Poverty,All Schools,10,5,22,11,4,2
2023 - 2024,SCH,Danville City Public Schools,O. Trent Bonner Middle,High Poverty,Title I,10,5,22,11,4,2
2023 - 2024,SCH,Danville City Public Schools,Park Avenue Elementary,High Poverty,All Schools,3.7,1,3.7,1,0,0
2023 - 2024,SCH,Danville City Public Schools,Park Avenue Elementary,High Poverty,Title I,3.7,1,3.7,1,0,0
2023 - 2024,SCH,Danville City Public Schools,Schoolfield Elementary,High Poverty,All Schools,11.8,4,20.6,7,5.9,2
2023 - 2024,SCH,Danville City Public Schools,Schoolfield Elementary,High Poverty,Title I,11.8,4,20.6,7,5.9,2
2023 - 2024,SCH,Danville City Public Schools,Westwood Middle,High Poverty,All Schools,10.4,5,41.7,20,8.3,4
2023 - 2024,SCH,Danville City Public Schools,Westwood Middle,High Poverty,Title I,10.4,5,41.7,20,8.3,4
2023 - 2024,SCH,Danville City Public Schools,Woodberry Hills Elementary,High Poverty,All Schools,14.8,4,29.6,8,11.1,3
2023 - 2024,SCH,Danville City Public Schools,Woodberry Hills Elementary,High Poverty,Title I,14.8,4,29.6,8,11.1,3
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview Elementary ,High Poverty,All Schools,6.5,4,1.6,1,0,0
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview Elementary ,High Poverty,Title I,6.5,4,1.6,1,0,0
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview High,High Poverty,All Schools,2.4,2,2.4,2,1.2,1
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview High,High Poverty,Non-Title I,2.4,2,2.4,2,1.2,1
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview Middle,High Poverty,All Schools,4,3,4,3,0,0
2023 - 2024,SCH,Dickenson County Public Schools,Ridgeview Middle,High Poverty,Non-Title I,4,3,4,3,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie County High,Medium Poverty,All Schools,2.9,3,5.8,6,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie County High,Medium Poverty,Non-Title I,2.9,3,5.8,6,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie County Middle,Medium Poverty,All Schools,6.6,5,1.3,1,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie County Middle,Medium Poverty,Non-Title I,6.6,5,1.3,1,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie Elementary,Medium Poverty,All Schools,2.4,1,0,0,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Dinwiddie Elementary,Medium Poverty,Title I,2.4,1,0,0,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Midway Elementary,Medium Poverty,All Schools,0,0,3.1,1,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Midway Elementary,Medium Poverty,Non-Title I,0,0,3.1,1,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Southside Elementary,Medium Poverty,All Schools,2.2,1,0,0,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Southside Elementary,Medium Poverty,Title I,2.2,1,0,0,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Sunnyside Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Sunnyside Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Dinwiddie County Public Schools,Sutherland Elementary,Medium Poverty,All Schools,6.1,3,6.1,3,2,1
2023 - 2024,SCH,Dinwiddie County Public Schools,Sutherland Elementary,Medium Poverty,Title I,6.1,3,6.1,3,2,1
2023 - 2024,SCH,Essex County Public Schools,Essex High,High Poverty,All Schools,5.9,2,8.8,3,5.9,2
2023 - 2024,SCH,Essex County Public Schools,Essex High,High Poverty,Non-Title I,5.9,2,8.8,3,5.9,2
2023 - 2024,SCH,Essex County Public Schools,James H. Cary Intermediate ,High Poverty,All Schools,15.2,5,24.2,8,15.2,5
2023 - 2024,SCH,Essex County Public Schools,James H. Cary Intermediate ,High Poverty,Title I,15.2,5,24.2,8,15.2,5
2023 - 2024,SCH,Essex County Public Schools,Tappahannock Elementary,High Poverty,All Schools,14.3,5,28.6,10,11.4,4
2023 - 2024,SCH,Essex County Public Schools,Tappahannock Elementary,High Poverty,Title I,14.3,5,28.6,10,11.4,4
2023 - 2024,SCH,Fairfax County Public Schools,Aldrin Elementary,Low Poverty,All Schools,5.9,3,13.7,7,3.9,2
2023 - 2024,SCH,Fairfax County Public Schools,Aldrin Elementary,Low Poverty,Non-Title I,5.9,3,13.7,7,3.9,2
2023 - 2024,SCH,Fairfax County Public Schools,Annandale High,Medium Poverty,All Schools,6.6,13,16.2,32,4.5,9
2023 - 2024,SCH,Fairfax County Public Schools,Annandale High,Medium Poverty,Non-Title I,6.6,13,16.2,32,4.5,9
2023 - 2024,SCH,Fairfax County Public Schools,Annandale Terrace Elementary,High Poverty,All Schools,4.5,3,3,2,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Annandale Terrace Elementary,High Poverty,Title I,4.5,3,3,2,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Archer Elementary,Low Poverty,All Schools,0,0,2.2,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Archer Elementary,Low Poverty,Non-Title I,0,0,2.2,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Armstrong Elementary,Low Poverty,All Schools,2.4,1,4.8,2,2.4,1
2023 - 2024,SCH,Fairfax County Public Schools,Armstrong Elementary,Low Poverty,Non-Title I,2.4,1,4.8,2,2.4,1
2023 - 2024,SCH,Fairfax County Public Schools,Bailey's Elementary School for the Arts and Sciences,Medium Poverty,All Schools,3.9,3,10.4,8,2.6,2
2023 - 2024,SCH,Fairfax County Public Schools,Bailey's Elementary School for the Arts and Sciences,Medium Poverty,Title I,3.9,3,10.4,8,2.6,2
2023 - 2024,SCH,Fairfax County Public Schools,Bailey's Upper Elementary School for the Arts and Sciences,Medium Poverty,All Schools,8.2,5,16.4,10,3.3,2
2023 - 2024,SCH,Fairfax County Public Schools,Bailey's Upper Elementary School for the Arts and Sciences,Medium Poverty,Title I,8.2,5,16.4,10,3.3,2
2023 - 2024,SCH,Fairfax County Public Schools,Beech Tree Elementary,Medium Poverty,All Schools,17.1,7,9.8,4,2.4,1
2023 - 2024,SCH,Fairfax County Public Schools,Beech Tree Elementary,Medium Poverty,Title I,17.1,7,9.8,4,2.4,1
2023 - 2024,SCH,Fairfax County Public Schools,Belle View Elementary,Medium Poverty,All Schools,7,3,11.6,5,2.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Belle View Elementary,Medium Poverty,Non-Title I,7,3,11.6,5,2.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Belvedere Elementary,Medium Poverty,All Schools,1.6,1,3.2,2,1.6,1
2023 - 2024,SCH,Fairfax County Public Schools,Belvedere Elementary,Medium Poverty,Title I,1.6,1,3.2,2,1.6,1
2023 - 2024,SCH,Fairfax County Public Schools,Bonnie Brae Elementary,Low Poverty,All Schools,0,0,1.5,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Bonnie Brae Elementary,Low Poverty,Non-Title I,0,0,1.5,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Braddock Elementary,Medium Poverty,All Schools,5.5,5,12.1,11,1.1,1
2023 - 2024,SCH,Fairfax County Public Schools,Braddock Elementary,Medium Poverty,Title I,5.5,5,12.1,11,1.1,1
2023 - 2024,SCH,Fairfax County Public Schools,Bren Mar Park Elementary,Medium Poverty,All Schools,6,3,2,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Bren Mar Park Elementary,Medium Poverty,Title I,6,3,2,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Brookfield Elementary,Medium Poverty,All Schools,2.9,2,1.5,1,1.5,1
2023 - 2024,SCH,Fairfax County Public Schools,Brookfield Elementary,Medium Poverty,Title I,2.9,2,1.5,1,1.5,1
2023 - 2024,SCH,Fairfax County Public Schools,Bryant High,Medium Poverty,All Schools,5.4,2,8.1,3,2.7,1
2023 - 2024,SCH,Fairfax County Public Schools,Bryant High,Medium Poverty,Non-Title I,5.4,2,8.1,3,2.7,1
2023 - 2024,SCH,Fairfax County Public Schools,Bucknell Elementary,Medium Poverty,All Schools,2.4,1,2.4,1,2.4,1
2023 - 2024,SCH,Fairfax County Public Schools,Bucknell Elementary,Medium Poverty,Title I,2.4,1,2.4,1,2.4,1
2023 - 2024,SCH,Fairfax County Public Schools,Bull Run Elementary,Medium Poverty,All Schools,3.2,2,1.6,1,1.6,1
2023 - 2024,SCH,Fairfax County Public Schools,Bull Run Elementary,Medium Poverty,Non-Title I,3.2,2,1.6,1,1.6,1
2023 - 2024,SCH,Fairfax County Public Schools,Bush Hill Elementary,Low Poverty,All Schools,9.1,6,12.1,8,4.5,3
2023 - 2024,SCH,Fairfax County Public Schools,Bush Hill Elementary,Low Poverty,Non-Title I,9.1,6,12.1,8,4.5,3
2023 - 2024,SCH,Fairfax County Public Schools,Camelot Elementary,Medium Poverty,All Schools,9.1,5,3.6,2,3.6,2
2023 - 2024,SCH,Fairfax County Public Schools,Camelot Elementary,Medium Poverty,Non-Title I,9.1,5,3.6,2,3.6,2
2023 - 2024,SCH,Fairfax County Public Schools,Cameron Elementary,Medium Poverty,All Schools,1.9,1,1.9,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Cameron Elementary,Medium Poverty,Title I,1.9,1,1.9,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Canterbury Woods Elementary,Low Poverty,All Schools,4.9,3,4.9,3,1.6,1
2023 - 2024,SCH,Fairfax County Public Schools,Canterbury Woods Elementary,Low Poverty,Non-Title I,4.9,3,4.9,3,1.6,1
2023 - 2024,SCH,Fairfax County Public Schools,Cardinal Forest Elementary,Low Poverty,All Schools,7,4,7,4,3.5,2
2023 - 2024,SCH,Fairfax County Public Schools,Cardinal Forest Elementary,Low Poverty,Non-Title I,7,4,7,4,3.5,2
