Teacher Educational Attainment,,,,,
,,,,,
,,,,,
Year,Level,Division,School,Year Percent,Type
2023 - 2024,SCH,Fairfax County Public Schools,Forestdale Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Forestville Elementary,25,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Forestville Elementary,73,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Forestville Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Elementary,46,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Elementary,48,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Upper Elementary,24,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Upper Elementary,62,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Upper Elementary,5,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fort Hunt Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fort Hunt Elementary,65,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fort Hunt Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fox Mill Elementary,35,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fox Mill Elementary,63,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Fox Mill Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Franconia Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Franconia Elementary,67,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Franconia Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Franklin Middle,26,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Franklin Middle,73,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Franklin Middle,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Freedom Hill Elementary,30,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Freedom Hill Elementary,64,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Freedom Hill Elementary,4,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Frost Middle,18,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Frost Middle,81,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Frost Middle,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Garfield Elementary,25,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Garfield Elementary,75,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Garfield Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Glasgow Middle,33,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Glasgow Middle,58,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Glasgow Middle,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Glen Forest Elementary,30,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Glen Forest Elementary,67,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Glen Forest Elementary,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Graham Road Elementary,44,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Graham Road Elementary,54,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Graham Road Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Great Falls Elementary,25,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Great Falls Elementary,74,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Great Falls Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar East Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar East Elementary,70,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar East Elementary,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar West Elementary,39,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar West Elementary,61,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar West Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Groveton Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Groveton Elementary,63,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Groveton Elementary,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Gunston Elementary,28,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Gunston Elementary,70,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Gunston Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Halley Elementary,27,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Halley Elementary,70,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Halley Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Haycock Elementary,34,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Haycock Elementary,63,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Haycock Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Elementary,15,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Elementary,85,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Secondary,25,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Secondary,69,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Secondary,3,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Herndon Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Herndon Elementary,71,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Herndon Elementary,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Herndon High,24,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Herndon High,71,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Herndon High,3,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Herndon Middle,33,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Herndon Middle,63,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Herndon Middle,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hollin Meadows Elementary,32,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hollin Meadows Elementary,63,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hollin Meadows Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Holmes Middle,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Holmes Middle,64,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Holmes Middle,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hughes Middle,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hughes Middle,68,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hughes Middle,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hunt Valley Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hunt Valley Elementary,71,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hunt Valley Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hunters Woods Elementary School for the Arts and Sciences,26,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hunters Woods Elementary School for the Arts and Sciences,69,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hunters Woods Elementary School for the Arts and Sciences,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hutchison Elementary,34,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hutchison Elementary,64,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hutchison Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hybla Valley Elementary,43,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hybla Valley Elementary,56,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Hybla Valley Elementary,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Irving Middle,38,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Irving Middle,59,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Irving Middle,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Island Creek Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Island Creek Elementary,72,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Island Creek Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Jackson Middle,28,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Jackson Middle,64,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Jackson Middle,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Johnson Middle,25,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Johnson Middle,73,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Johnson Middle,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Justice High,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Justice High,66,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Justice High,4,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Keene Mill Elementary,30,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Keene Mill Elementary,66,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Keene Mill Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kent Gardens Elementary,30,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kent Gardens Elementary,67,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kent Gardens Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Key Center,39,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Key Center,61,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Key Center,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Key Middle,25,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Key Middle,75,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Key Middle,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Center,25,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Center,65,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Center,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Middle,24,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Middle,74,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Middle,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kings Glen Elementary,30,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kings Glen Elementary,65,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kings Glen Elementary,5,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kings Park Elementary,30,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kings Park Elementary,64,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Kings Park Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lake Anne Elementary,32,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lake Anne Elementary,63,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lake Anne Elementary,4,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lake Braddock Secondary,28,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lake Braddock Secondary,68,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lake Braddock Secondary,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lane Elementary,47,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lane Elementary,50,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lane Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Langley High,20,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Langley High,73,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Langley High,6,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Hill Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Hill Elementary,65,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Hill Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Ridge Elementary,40,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Ridge Elementary,56,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Ridge Elementary,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lees Corner Elementary,22,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lees Corner Elementary,78,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lees Corner Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lemon Road Elementary,37,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lemon Road Elementary,61,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lemon Road Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lewis High,22,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lewis High,70,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lewis High,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Liberty Middle,20,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Liberty Middle,76,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Liberty Middle,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Little Run Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Little Run Elementary,74,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Little Run Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,London Towne Elementary,27,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,London Towne Elementary,70,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,London Towne Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Longfellow Middle,34,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Longfellow Middle,59,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Longfellow Middle,3,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lorton Station Elementary,41,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lorton Station Elementary,56,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lorton Station Elementary,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lynbrook Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lynbrook Elementary,70,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Lynbrook Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Madison High,26,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Madison High,71,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Madison High,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Mantua Elementary,18,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Mantua Elementary,80,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Mantua Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Marshall High,24,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Marshall High,67,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Marshall High,2,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Marshall Road Elementary,34,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Marshall Road Elementary,63,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Marshall Road Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,Mason Crest Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Mason Crest Elementary,71,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,Mason Crest Elementary,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,McLean High,23,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,McLean High,76,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,McLean High,1,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,McNair Elementary,28,Bachelor's Degree
2023 - 2024,SCH,Fairfax County Public Schools,McNair Elementary,69,Master's Degree
2023 - 2024,SCH,Fairfax County Public Schools,McNair Elementary,0,Doctoral Degree
2023 - 2024,SCH,Fairfax County Public Schools,McNair Upper Elementary,36,Bachelor's Degree
